title,abstract,published
WhisperNER: Unified Open Named Entity and Speech Recognition,"Integrating named entity recognition (NER) with automatic speech recognition
(ASR) can significantly enhance transcription accuracy and informativeness. In
this paper, we introduce WhisperNER, a novel model that allows joint speech
transcription and entity recognition. WhisperNER supports open-type NER,
enabling recognition of diverse and evolving entities at inference. Building on
recent advancements in open NER research, we augment a large synthetic dataset
with synthetic speech samples. This allows us to train WhisperNER on a large
number of examples with diverse NER tags. During training, the model is
prompted with NER labels and optimized to output the transcribed utterance
along with the corresponding tagged entities. To evaluate WhisperNER, we
generate synthetic speech for commonly used NER benchmarks and annotate
existing ASR datasets with open NER tags. Our experiments demonstrate that
WhisperNER outperforms natural baselines on both out-of-domain open type NER
and supervised finetuning.",2024-09-12 15:00:56+00:00
"DEMAU: Decompose, Explore, Model and Analyse Uncertainties","Recent research in machine learning has given rise to a flourishing
literature on the quantification and decomposition of model uncertainty. This
information can be very useful during interactions with the learner, such as in
active learning or adaptive learning, and especially in uncertainty sampling.
To allow a simple representation of these total, epistemic (reducible) and
aleatoric (irreducible) uncertainties, we offer DEMAU, an open-source
educational, exploratory and analytical tool allowing to visualize and explore
several types of uncertainty for classification models in machine learning.",2024-09-12 14:57:28+00:00
Bayesian Self-Training for Semi-Supervised 3D Segmentation,"3D segmentation is a core problem in computer vision and, similarly to many
other dense prediction tasks, it requires large amounts of annotated data for
adequate training. However, densely labeling 3D point clouds to employ
fully-supervised training remains too labor intensive and expensive.
Semi-supervised training provides a more practical alternative, where only a
small set of labeled data is given, accompanied by a larger unlabeled set. This
area thus studies the effective use of unlabeled data to reduce the performance
gap that arises due to the lack of annotations. In this work, inspired by
Bayesian deep learning, we first propose a Bayesian self-training framework for
semi-supervised 3D semantic segmentation. Employing stochastic inference, we
generate an initial set of pseudo-labels and then filter these based on
estimated point-wise uncertainty. By constructing a heuristic $n$-partite
matching algorithm, we extend the method to semi-supervised 3D instance
segmentation, and finally, with the same building blocks, to dense 3D visual
grounding. We demonstrate state-of-the-art results for our semi-supervised
method on SemanticKITTI and ScribbleKITTI for 3D semantic segmentation and on
ScanNet and S3DIS for 3D instance segmentation. We further achieve substantial
improvements in dense 3D visual grounding over supervised-only baselines on
ScanRefer. Our project page is available at ouenal.github.io/bst/.",2024-09-12 14:54:31+00:00
The CLC-UKET Dataset: Benchmarking Case Outcome Prediction for the UK Employment Tribunal,"This paper explores the intersection of technological innovation and access
to justice by developing a benchmark for predicting case outcomes in the UK
Employment Tribunal (UKET). To address the challenge of extensive manual
annotation, the study employs a large language model (LLM) for automatic
annotation, resulting in the creation of the CLC-UKET dataset. The dataset
consists of approximately 19,000 UKET cases and their metadata. Comprehensive
legal annotations cover facts, claims, precedent references, statutory
references, case outcomes, reasons and jurisdiction codes. Facilitated by the
CLC-UKET data, we examine a multi-class case outcome prediction task in the
UKET. Human predictions are collected to establish a performance reference for
model comparison. Empirical results from baseline models indicate that
finetuned transformer models outperform zero-shot and few-shot LLMs on the UKET
prediction task. The performance of zero-shot LLMs can be enhanced by
integrating task-related information into few-shot examples. We hope that the
CLC-UKET dataset, along with human annotations and empirical findings, can
serve as a valuable benchmark for employment-related dispute resolution.",2024-09-12 14:51:43+00:00
Optimizing Falsification for Learning-Based Control Systems: A Multi-Fidelity Bayesian Approach,"Testing controllers in safety-critical systems is vital for ensuring their
safety and preventing failures. In this paper, we address the falsification
problem within learning-based closed-loop control systems through simulation.
This problem involves the identification of counterexamples that violate system
safety requirements and can be formulated as an optimization task based on
these requirements. Using full-fidelity simulator data in this optimization
problem can be computationally expensive. To improve efficiency, we propose a
multi-fidelity Bayesian optimization falsification framework that harnesses
simulators with varying levels of accuracy. Our proposed framework can
transition between different simulators and establish meaningful relationships
between them. Through multi-fidelity Bayesian optimization, we determine both
the optimal system input likely to be a counterexample and the appropriate
fidelity level for assessment. We evaluated our approach across various Gym
environments, each featuring different levels of fidelity. Our experiments
demonstrate that multi-fidelity Bayesian optimization is more computationally
efficient than full-fidelity Bayesian optimization and other baseline methods
in detecting counterexamples. A Python implementation of the algorithm is
available at https://github.com/SAILRIT/MFBO_Falsification.",2024-09-12 14:51:03+00:00
EZIGen: Enhancing zero-shot subject-driven image generation with precise subject encoding and decoupled guidance,"Zero-shot subject-driven image generation aims to produce images that
incorporate a subject from a given example image. The challenge lies in
preserving the subject's identity while aligning with the text prompt, which
often requires modifying certain aspects of the subject's appearance. Despite
advancements in diffusion model based methods, existing approaches still
struggle to balance identity preservation with text prompt alignment. In this
study, we conducted an in-depth investigation into this issue and uncovered key
insights for achieving effective identity preservation while maintaining a
strong balance. Our key findings include: (1) the design of the subject image
encoder significantly impacts identity preservation quality, and (2) generating
an initial layout is crucial for both text alignment and identity preservation.
Building on these insights, we introduce a new approach called EZIGen, which
employs two main strategies: a carefully crafted subject image Encoder based on
the UNet architecture of the pretrained Stable Diffusion model to ensure
high-quality identity transfer, following a process that decouples the guidance
stages and iteratively refines the initial image layout. Through these
strategies, EZIGen achieves state-of-the-art results on multiple subject-driven
benchmarks with a unified model and 100 times less training data.",2024-09-12 14:44:45+00:00
SimMAT: Exploring Transferability from Vision Foundation Models to Any Image Modality,"Foundation models like ChatGPT and Sora that are trained on a huge scale of
data have made a revolutionary social impact. However, it is extremely
challenging for sensors in many different fields to collect similar scales of
natural images to train strong foundation models. To this end, this work
presents a simple and effective framework SimMAT to study an open problem: the
transferability from vision foundation models trained on natural RGB images to
other image modalities of different physical properties (e.g., polarization).
SimMAT consists of a modality-agnostic transfer layer (MAT) and a pretrained
foundation model. We apply SimMAT to a representative vision foundation model
Segment Anything Model (SAM) to support any evaluated new image modality. Given
the absence of relevant benchmarks, we construct a new benchmark to evaluate
the transfer learning performance. Our experiments confirm the intriguing
potential of transferring vision foundation models in enhancing other sensors'
performance. Specifically, SimMAT can improve the segmentation performance
(mIoU) from 22.15% to 53.88% on average for evaluated modalities and
consistently outperforms other baselines. We hope that SimMAT can raise
awareness of cross-modal transfer learning and benefit various fields for
better results with vision foundation models.",2024-09-12 14:38:21+00:00
Diffusion-Based Image-to-Image Translation by Noise Correction via Prompt Interpolation,"We propose a simple but effective training-free approach tailored to
diffusion-based image-to-image translation. Our approach revises the original
noise prediction network of a pretrained diffusion model by introducing a noise
correction term. We formulate the noise correction term as the difference
between two noise predictions; one is computed from the denoising network with
a progressive interpolation of the source and target prompt embeddings, while
the other is the noise prediction with the source prompt embedding. The final
noise prediction network is given by a linear combination of the standard
denoising term and the noise correction term, where the former is designed to
reconstruct must-be-preserved regions while the latter aims to effectively edit
regions of interest relevant to the target prompt. Our approach can be easily
incorporated into existing image-to-image translation methods based on
diffusion models. Extensive experiments verify that the proposed technique
achieves outstanding performance with low latency and consistently improves
existing frameworks when combined with them.",2024-09-12 14:30:45+00:00
TravelAgent: An AI Assistant for Personalized Travel Planning,"As global tourism expands and artificial intelligence technology advances,
intelligent travel planning services have emerged as a significant research
focus. Within dynamic real-world travel scenarios with multi-dimensional
constraints, services that support users in automatically creating practical
and customized travel itineraries must address three key objectives:
Rationality, Comprehensiveness, and Personalization. However, existing systems
with rule-based combinations or LLM-based planning methods struggle to fully
satisfy these criteria. To overcome the challenges, we introduce TravelAgent, a
travel planning system powered by large language models (LLMs) designed to
provide reasonable, comprehensive, and personalized travel itineraries grounded
in dynamic scenarios. TravelAgent comprises four modules: Tool-usage,
Recommendation, Planning, and Memory Module. We evaluate TravelAgent's
performance with human and simulated users, demonstrating its overall
effectiveness in three criteria and confirming the accuracy of personalized
recommendations.",2024-09-12 14:24:45+00:00
AutoPET Challenge: Tumour Synthesis for Data Augmentation,"Accurate lesion segmentation in whole-body PET/CT scans is crucial for cancer
diagnosis and treatment planning, but limited datasets often hinder the
performance of automated segmentation models. In this paper, we explore the
potential of leveraging the deep prior from a generative model to serve as a
data augmenter for automated lesion segmentation in PET/CT scans. We adapt the
DiffTumor method, originally designed for CT images, to generate synthetic
PET-CT images with lesions. Our approach trains the generative model on the
AutoPET dataset and uses it to expand the training data. We then compare the
performance of segmentation models trained on the original and augmented
datasets. Our findings show that the model trained on the augmented dataset
achieves a higher Dice score, demonstrating the potential of our data
augmentation approach. In a nutshell, this work presents a promising direction
for improving lesion segmentation in whole-body PET/CT scans with limited
datasets, potentially enhancing the accuracy and reliability of cancer
diagnostics.",2024-09-12 14:23:19+00:00
Self-Supervised Learning of Iterative Solvers for Constrained Optimization,"Obtaining the solution of constrained optimization problems as a function of
parameters is very important in a multitude of applications, such as control
and planning. Solving such parametric optimization problems in real time can
present significant challenges, particularly when it is necessary to obtain
highly accurate solutions or batches of solutions. To solve these challenges,
we propose a learning-based iterative solver for constrained optimization which
can obtain very fast and accurate solutions by customizing the solver to a
specific parametric optimization problem. For a given set of parameters of the
constrained optimization problem, we propose a first step with a neural network
predictor that outputs primal-dual solutions of a reasonable degree of
accuracy. This primal-dual solution is then improved to a very high degree of
accuracy in a second step by a learned iterative solver in the form of a neural
network. A novel loss function based on the Karush-Kuhn-Tucker conditions of
optimality is introduced, enabling fully self-supervised training of both
neural networks without the necessity of prior sampling of optimizer solutions.
The evaluation of a variety of quadratic and nonlinear parametric test problems
demonstrates that the predictor alone is already competitive with recent
self-supervised schemes for approximating optimal solutions. The second step of
our proposed learning-based iterative constrained optimizer achieves solutions
with orders of magnitude better accuracy than other learning-based approaches,
while being faster to evaluate than state-of-the-art solvers and natively
allowing for GPU parallelization.",2024-09-12 14:17:23+00:00
AI-accelerated discovery of high critical temperature superconductors,"The discovery of new superconducting materials, particularly those exhibiting
high critical temperature ($T_c$), has been a vibrant area of study within the
field of condensed matter physics. Conventional approaches primarily rely on
physical intuition to search for potential superconductors within the existing
databases. However, the known materials only scratch the surface of the
extensive array of possibilities within the realm of materials. Here, we
develop an AI search engine that integrates deep model pre-training and
fine-tuning techniques, diffusion models, and physics-based approaches (e.g.,
first-principles electronic structure calculation) for discovery of high-$T_c$
superconductors. Utilizing this AI search engine, we have obtained 74
dynamically stable materials with critical temperatures predicted by the AI
model to be $T_c \geq$ 15 K based on a very small set of samples. Notably,
these materials are not contained in any existing dataset. Furthermore, we
analyze trends in our dataset and individual materials including B$_4$CN$_3$
and B$_5$CN$_2$ whose $T_c$s are 24.08 K and 15.93 K, respectively. We
demonstrate that AI technique can discover a set of new high-$T_c$
superconductors, outline its potential for accelerating discovery of the
materials with targeted properties.",2024-09-12 14:16:56+00:00
Q-value Regularized Decision ConvFormer for Offline Reinforcement Learning,"As a data-driven paradigm, offline reinforcement learning (Offline RL) has
been formulated as sequence modeling, where the Decision Transformer (DT) has
demonstrated exceptional capabilities. Unlike previous reinforcement learning
methods that fit value functions or compute policy gradients, DT adjusts the
autoregressive model based on the expected returns, past states, and actions,
using a causally masked Transformer to output the optimal action. However, due
to the inconsistency between the sampled returns within a single trajectory and
the optimal returns across multiple trajectories, it is challenging to set an
expected return to output the optimal action and stitch together suboptimal
trajectories. Decision ConvFormer (DC) is easier to understand in the context
of modeling RL trajectories within a Markov Decision Process compared to DT. We
propose the Q-value Regularized Decision ConvFormer (QDC), which combines the
understanding of RL trajectories by DC and incorporates a term that maximizes
action values using dynamic programming methods during training. This ensures
that the expected returns of the sampled actions are consistent with the
optimal returns. QDC achieves excellent performance on the D4RL benchmark,
outperforming or approaching the optimal level in all tested environments. It
particularly demonstrates outstanding competitiveness in trajectory stitching
capability.",2024-09-12 14:10:22+00:00
Spatial Adaptation Layer: Interpretable Domain Adaptation For Biosignal Sensor Array Applications,"Biosignal acquisition is key for healthcare applications and wearable
devices, with machine learning offering promising methods for processing
signals like surface electromyography (sEMG) and electroencephalography (EEG).
Despite high within-session performance, intersession performance is hindered
by electrode shift, a known issue across modalities. Existing solutions often
require large and expensive datasets and/or lack robustness and
interpretability. Thus, we propose the Spatial Adaptation Layer (SAL), which
can be prepended to any biosignal array model and learns a parametrized affine
transformation at the input between two recording sessions. We also introduce
learnable baseline normalization (LBN) to reduce baseline fluctuations. Tested
on two HD-sEMG gesture recognition datasets, SAL and LBN outperform standard
fine-tuning on regular arrays, achieving competitive performance even with a
logistic regressor, with orders of magnitude less, physically interpretable
parameters. Our ablation study shows that forearm circumferential translations
account for the majority of performance improvements, in line with sEMG
physiological expectations.",2024-09-12 14:06:12+00:00
Expansive Supervision for Neural Radiance Field,"Neural Radiance Fields have achieved success in creating powerful 3D media
representations with their exceptional reconstruction capabilities. However,
the computational demands of volume rendering pose significant challenges
during model training. Existing acceleration techniques often involve
redesigning the model architecture, leading to limitations in compatibility
across different frameworks. Furthermore, these methods tend to overlook the
substantial memory costs incurred. In response to these challenges, we
introduce an expansive supervision mechanism that efficiently balances
computational load, rendering quality and flexibility for neural radiance field
training. This mechanism operates by selectively rendering a small but crucial
subset of pixels and expanding their values to estimate the error across the
entire area for each iteration. Compare to conventional supervision, our method
effectively bypasses redundant rendering processes, resulting in notable
reductions in both time and memory consumption. Experimental results
demonstrate that integrating expansive supervision within existing
state-of-the-art acceleration frameworks can achieve 69% memory savings and 42%
time savings, with negligible compromise in visual quality.",2024-09-12 14:05:13+00:00
Predicting and Accelerating Nanomaterials Synthesis Using Machine Learning Featurization,"Solving for the complex conditions of materials synthesis and processing
requires analyzing information gathered from multiple modes of
characterization. Currently, quantitative information is extracted serially
with manual tools and intuition, constraining the feedback cycle for process
optimization. We use machine learning to automate and generalize feature
extraction for in-situ reflection high-energy electron diffraction (RHEED) data
to establish quantitatively predictive relationships in small sets ($\sim$10)
of expert-labeled data, and apply these to save significant time on subsequent
epitaxially grown samples. The fidelity of these relationships is tested on a
representative material system ($W_{1-x}V_xSe2$ growth on c-plane sapphire
substrate (0001)) at two stages of synthesis with two aims: 1) predicting the
grain alignment of the deposited film from the pre-growth substrate surface
data, and 2) estimating the vanadium (V) dopant concentration using in-situ
RHEED as a proxy for ex-situ methods (e.g. x-ray photoelectron spectroscopy).
Both tasks are accomplished using the same set of materials agnostic core
features, eliminating the need to retrain for specific systems and leading to a
potential 80\% time saving over a 100 sample synthesis campaign. These
predictions provide guidance for recipe adjustments to avoid doomed trials,
reduce follow-on characterization, and improve control resolution for materials
synthesis, ultimately accelerating materials discovery and commercial scale-up.",2024-09-12 14:03:55+00:00
Unleashing Worms and Extracting Data: Escalating the Outcome of Attacks against RAG-based Inference in Scale and Severity Using Jailbreaking,"In this paper, we show that with the ability to jailbreak a GenAI model,
attackers can escalate the outcome of attacks against RAG-based GenAI-powered
applications in severity and scale. In the first part of the paper, we show
that attackers can escalate RAG membership inference attacks and RAG entity
extraction attacks to RAG documents extraction attacks, forcing a more severe
outcome compared to existing attacks. We evaluate the results obtained from
three extraction methods, the influence of the type and the size of five
embeddings algorithms employed, the size of the provided context, and the GenAI
engine. We show that attackers can extract 80%-99.8% of the data stored in the
database used by the RAG of a Q&A chatbot. In the second part of the paper, we
show that attackers can escalate the scale of RAG data poisoning attacks from
compromising a single GenAI-powered application to compromising the entire
GenAI ecosystem, forcing a greater scale of damage. This is done by crafting an
adversarial self-replicating prompt that triggers a chain reaction of a
computer worm within the ecosystem and forces each affected application to
perform a malicious activity and compromise the RAG of additional applications.
We evaluate the performance of the worm in creating a chain of confidential
data extraction about users within a GenAI ecosystem of GenAI-powered email
assistants and analyze how the performance of the worm is affected by the size
of the context, the adversarial self-replicating prompt used, the type and size
of the embeddings algorithm employed, and the number of hops in the
propagation. Finally, we review and analyze guardrails to protect RAG-based
inference and discuss the tradeoffs.",2024-09-12 13:50:22+00:00
Thermal3D-GS: Physics-induced 3D Gaussians for Thermal Infrared Novel-view Synthesis,"Novel-view synthesis based on visible light has been extensively studied. In
comparison to visible light imaging, thermal infrared imaging offers the
advantage of all-weather imaging and strong penetration, providing increased
possibilities for reconstruction in nighttime and adverse weather scenarios.
However, thermal infrared imaging is influenced by physical characteristics
such as atmospheric transmission effects and thermal conduction, hindering the
precise reconstruction of intricate details in thermal infrared scenes,
manifesting as issues of floaters and indistinct edge features in synthesized
images. To address these limitations, this paper introduces a physics-induced
3D Gaussian splatting method named Thermal3D-GS. Thermal3D-GS begins by
modeling atmospheric transmission effects and thermal conduction in
three-dimensional media using neural networks. Additionally, a temperature
consistency constraint is incorporated into the optimization objective to
enhance the reconstruction accuracy of thermal infrared images. Furthermore, to
validate the effectiveness of our method, the first large-scale benchmark
dataset for this field named Thermal Infrared Novel-view Synthesis Dataset
(TI-NSD) is created. This dataset comprises 20 authentic thermal infrared video
scenes, covering indoor, outdoor, and UAV(Unmanned Aerial Vehicle) scenarios,
totaling 6,664 frames of thermal infrared image data. Based on this dataset,
this paper experimentally verifies the effectiveness of Thermal3D-GS. The
results indicate that our method outperforms the baseline method with a 3.03 dB
improvement in PSNR and significantly addresses the issues of floaters and
indistinct edge features present in the baseline method. Our dataset and
codebase will be released in
\href{https://github.com/mzzcdf/Thermal3DGS}{\textcolor{red}{Thermal3DGS}}.",2024-09-12 13:46:53+00:00
Heterogeneous Sheaf Neural Networks,"Heterogeneous graphs, with nodes and edges of different types, are commonly
used to model relational structures in many real-world applications. Standard
Graph Neural Networks (GNNs) struggle to process heterogeneous data due to
oversmoothing. Instead, current approaches have focused on accounting for the
heterogeneity in the model architecture, leading to increasingly complex
models. Inspired by recent work, we propose using cellular sheaves to model the
heterogeneity in the graph's underlying topology. Instead of modelling the data
as a graph, we represent it as cellular sheaves, which allows us to encode the
different data types directly in the data structure, eliminating the need to
inject them into the architecture. We introduce HetSheaf, a general framework
for heterogeneous sheaf neural networks, and a series of heterogeneous sheaf
predictors to better encode the data's heterogeneity into the sheaf structure.
Finally, we empirically evaluate HetSheaf on several standard heterogeneous
graph benchmarks, achieving competitive results whilst being more
parameter-efficient.",2024-09-12 13:38:08+00:00
LED: Light Enhanced Depth Estimation at Night,"Nighttime camera-based depth estimation is a highly challenging task,
especially for autonomous driving applications, where accurate depth perception
is essential for ensuring safe navigation. We aim to improve the reliability of
perception systems at night time, where models trained on daytime data often
fail in the absence of precise but costly LiDAR sensors. In this work, we
introduce Light Enhanced Depth (LED), a novel cost-effective approach that
significantly improves depth estimation in low-light environments by harnessing
a pattern projected by high definition headlights available in modern vehicles.
LED leads to significant performance boosts across multiple depth-estimation
architectures (encoder-decoder, Adabins, DepthFormer) both on synthetic and
real datasets. Furthermore, increased performances beyond illuminated areas
reveal a holistic enhancement in scene understanding. Finally, we release the
Nighttime Synthetic Drive Dataset, a new synthetic and photo-realistic
nighttime dataset, which comprises 49,990 comprehensively annotated images.",2024-09-12 13:23:24+00:00
"From Explanations to Action: A Zero-Shot, Theory-Driven LLM Framework for Student Performance Feedback","Recent advances in eXplainable AI (XAI) for education have highlighted a
critical challenge: ensuring that explanations for state-of-the-art AI models
are understandable for non-technical users such as educators and students. In
response, we introduce iLLuMinaTE, a zero-shot, chain-of-prompts LLM-XAI
pipeline inspired by Miller's cognitive model of explanation. iLLuMinaTE is
designed to deliver theory-driven, actionable feedback to students in online
courses. iLLuMinaTE navigates three main stages - causal connection,
explanation selection, and explanation presentation - with variations drawing
from eight social science theories (e.g. Abnormal Conditions, Pearl's Model of
Explanation, Necessity and Robustness Selection, Contrastive Explanation). We
extensively evaluate 21,915 natural language explanations of iLLuMinaTE
extracted from three LLMs (GPT-4o, Gemma2-9B, Llama3-70B), with three different
underlying XAI methods (LIME, Counterfactuals, MC-LIME), across students from
three diverse online courses. Our evaluation involves analyses of explanation
alignment to the social science theory, understandability of the explanation,
and a real-world user preference study with 114 university students containing
a novel actionability simulation. We find that students prefer iLLuMinaTE
explanations over traditional explainers 89.52% of the time. Our work provides
a robust, ready-to-use framework for effectively communicating hybrid
XAI-driven insights in education, with significant generalization potential for
other human-centric fields.",2024-09-12 13:18:41+00:00
Scribble-Guided Diffusion for Training-free Text-to-Image Generation,"Recent advancements in text-to-image diffusion models have demonstrated
remarkable success, yet they often struggle to fully capture the user's intent.
Existing approaches using textual inputs combined with bounding boxes or region
masks fall short in providing precise spatial guidance, often leading to
misaligned or unintended object orientation. To address these limitations, we
propose Scribble-Guided Diffusion (ScribbleDiff), a training-free approach that
utilizes simple user-provided scribbles as visual prompts to guide image
generation. However, incorporating scribbles into diffusion models presents
challenges due to their sparse and thin nature, making it difficult to ensure
accurate orientation alignment. To overcome these challenges, we introduce
moment alignment and scribble propagation, which allow for more effective and
flexible alignment between generated images and scribble inputs. Experimental
results on the PASCAL-Scribble dataset demonstrate significant improvements in
spatial control and consistency, showcasing the effectiveness of scribble-based
guidance in diffusion models. Our code is available at
https://github.com/kaist-cvml-lab/scribble-diffusion.",2024-09-12 13:13:07+00:00
Edge-Wise Graph-Instructed Neural Networks,"The problem of multi-task regression over graph nodes has been recently
approached through Graph-Instructed Neural Network (GINN), which is a promising
architecture belonging to the subset of message-passing graph neural networks.
In this work, we discuss the limitations of the Graph-Instructed (GI) layer,
and we formalize a novel edge-wise GI (EWGI) layer. We discuss the advantages
of the EWGI layer and we provide numerical evidence that EWGINNs perform better
than GINNs over graph-structured input data with chaotic connectivity, like the
ones inferred from the Erdos-R\'enyi graph.",2024-09-12 13:05:28+00:00
Network Anomaly Traffic Detection via Multi-view Feature Fusion,"Traditional anomalous traffic detection methods are based on single-view
analysis, which has obvious limitations in dealing with complex attacks and
encrypted communications. In this regard, we propose a Multi-view Feature
Fusion (MuFF) method for network anomaly traffic detection. MuFF models the
temporal and interactive relationships of packets in network traffic based on
the temporal and interactive viewpoints respectively. It learns temporal and
interactive features. These features are then fused from different perspectives
for anomaly traffic detection. Extensive experiments on six real traffic
datasets show that MuFF has excellent performance in network anomalous traffic
detection, which makes up for the shortcomings of detection under a single
perspective.",2024-09-12 13:04:40+00:00
Learning Causally Invariant Reward Functions from Diverse Demonstrations,"Inverse reinforcement learning methods aim to retrieve the reward function of
a Markov decision process based on a dataset of expert demonstrations. The
commonplace scarcity and heterogeneous sources of such demonstrations can lead
to the absorption of spurious correlations in the data by the learned reward
function. Consequently, this adaptation often exhibits behavioural overfitting
to the expert data set when a policy is trained on the obtained reward function
under distribution shift of the environment dynamics. In this work, we explore
a novel regularization approach for inverse reinforcement learning methods
based on the causal invariance principle with the goal of improved reward
function generalization. By applying this regularization to both exact and
approximate formulations of the learning task, we demonstrate superior policy
performance when trained using the recovered reward functions in a transfer
setting",2024-09-12 12:56:24+00:00
Multiplex Graph Contrastive Learning with Soft Negatives,"Graph Contrastive Learning (GCL) seeks to learn nodal or graph
representations that contain maximal consistent information from
graph-structured data. While node-level contrasting modes are dominating, some
efforts commence to explore consistency across different scales. Yet, they tend
to lose consistent information and be contaminated by disturbing features.
Here, we introduce MUX-GCL, a novel cross-scale contrastive learning paradigm
that utilizes multiplex representations as effective patches. While this
learning mode minimizes contaminating noises, a commensurate contrasting
strategy using positional affinities further avoids information loss by
correcting false negative pairs across scales. Extensive downstream experiments
demonstrate that MUX-GCL yields multiple state-of-the-art results on public
datasets. Our theoretical analysis further guarantees the new objective
function as a stricter lower bound of mutual information of raw input features
and output embeddings, which rationalizes this paradigm. Code is available at
https://github.com/MUX-GCL/Code.",2024-09-12 12:55:49+00:00
OCTAMamba: A State-Space Model Approach for Precision OCTA Vasculature Segmentation,"Optical Coherence Tomography Angiography (OCTA) is a crucial imaging
technique for visualizing retinal vasculature and diagnosing eye diseases such
as diabetic retinopathy and glaucoma. However, precise segmentation of OCTA
vasculature remains challenging due to the multi-scale vessel structures and
noise from poor image quality and eye lesions. In this study, we proposed
OCTAMamba, a novel U-shaped network based on the Mamba architecture, designed
to segment vasculature in OCTA accurately. OCTAMamba integrates a Quad Stream
Efficient Mining Embedding Module for local feature extraction, a Multi-Scale
Dilated Asymmetric Convolution Module to capture multi-scale vasculature, and a
Focused Feature Recalibration Module to filter noise and highlight target
areas. Our method achieves efficient global modeling and local feature
extraction while maintaining linear complexity, making it suitable for
low-computation medical applications. Extensive experiments on the OCTA 3M,
OCTA 6M, and ROSSA datasets demonstrated that OCTAMamba outperforms
state-of-the-art methods, providing a new reference for efficient OCTA
segmentation. Code is available at https://github.com/zs1314/OCTAMamba",2024-09-12 12:47:34+00:00
Privacy-preserving federated prediction of pain intensity change based on multi-center survey data,"Background: Patient-reported survey data are used to train prognostic models
aimed at improving healthcare. However, such data are typically available
multi-centric and, for privacy reasons, cannot easily be centralized in one
data repository. Models trained locally are less accurate, robust, and
generalizable. We present and apply privacy-preserving federated machine
learning techniques for prognostic model building, where local survey data
never leaves the legally safe harbors of the medical centers. Methods: We used
centralized, local, and federated learning techniques on two healthcare
datasets (GLA:D data from the five health regions of Denmark and international
SHARE data of 27 countries) to predict two different health outcomes. We
compared linear regression, random forest regression, and random forest
classification models trained on local data with those trained on the entire
data in a centralized and in a federated fashion. Results: In GLA:D data,
federated linear regression (R2 0.34, RMSE 18.2) and federated random forest
regression (R2 0.34, RMSE 18.3) models outperform their local counterparts
(i.e., R2 0.32, RMSE 18.6, R2 0.30, RMSE 18.8) with statistical significance.
We also found that centralized models (R2 0.34, RMSE 18.2, R2 0.32, RMSE 18.5,
respectively) did not perform significantly better than the federated models.
In SHARE, the federated model (AC 0.78, AUROC: 0.71) and centralized model (AC
0.84, AUROC: 0.66) perform significantly better than the local models (AC:
0.74, AUROC: 0.69). Conclusion: Federated learning enables the training of
prognostic models from multi-center surveys without compromising privacy and
with only minimal or no compromise regarding model performance.",2024-09-12 12:41:58+00:00
Depth Matters: Exploring Deep Interactions of RGB-D for Semantic Segmentation in Traffic Scenes,"RGB-D has gradually become a crucial data source for understanding complex
scenes in assisted driving. However, existing studies have paid insufficient
attention to the intrinsic spatial properties of depth maps. This oversight
significantly impacts the attention representation, leading to prediction
errors caused by attention shift issues. To this end, we propose a novel
learnable Depth interaction Pyramid Transformer (DiPFormer) to explore the
effectiveness of depth. Firstly, we introduce Depth Spatial-Aware Optimization
(Depth SAO) as offset to represent real-world spatial relationships. Secondly,
the similarity in the feature space of RGB-D is learned by Depth Linear
Cross-Attention (Depth LCA) to clarify spatial differences at the pixel level.
Finally, an MLP Decoder is utilized to effectively fuse multi-scale features
for meeting real-time requirements. Comprehensive experiments demonstrate that
the proposed DiPFormer significantly addresses the issue of attention
misalignment in both road detection (+7.5%) and semantic segmentation (+4.9% /
+1.5%) tasks. DiPFormer achieves state-of-the-art performance on the KITTI
(97.57% F-score on KITTI road and 68.74% mIoU on KITTI-360) and Cityscapes
(83.4% mIoU) datasets.",2024-09-12 12:39:34+00:00
Enhancing Few-Shot Image Classification through Learnable Multi-Scale Embedding and Attention Mechanisms,"In the context of few-shot classification, the goal is to train a classifier
using a limited number of samples while maintaining satisfactory performance.
However, traditional metric-based methods exhibit certain limitations in
achieving this objective. These methods typically rely on a single distance
value between the query feature and support feature, thereby overlooking the
contribution of shallow features. To overcome this challenge, we propose a
novel approach in this paper. Our approach involves utilizing multi-output
embedding network that maps samples into distinct feature spaces. The proposed
method extract feature vectors at different stages, enabling the model to
capture both global and abstract features. By utilizing these diverse feature
spaces, our model enhances its performance. Moreover, employing a
self-attention mechanism improves the refinement of features at each stage,
leading to even more robust representations and improved overall performance.
Furthermore, assigning learnable weights to each stage significantly improved
performance and results. We conducted comprehensive evaluations on the
MiniImageNet and FC100 datasets, specifically in the 5-way 1-shot and 5-way
5-shot scenarios. Additionally, we performed a cross-domain task from
MiniImageNet to the CUB dataset, achieving high accuracy in the testing domain.
These evaluations demonstrate the efficacy of our proposed method in comparison
to state-of-the-art approaches. https://github.com/FatemehAskari/MSENet",2024-09-12 12:34:29+00:00
